id,BIO_anno,class
0,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
1,O O O O O O O O,2
2,O O O O O O O O O O O O,2
3,O O O O O O O O O O O O O O O O O O O O O,2
4,O O O O O O O O O O O O O O O O O O O O O O O O O O,2
5,O O O O O O O O O O O,2
6,O O O O O O O O O O O O O O O O O,2
7,O O O O O O O O O O O O O O O O O O O O O,2
8,O O O O O O O O O O O O O O O O O,2
9,O O,2
10,O O O O O O O O,2
11,O O O O O O O O O O O O O O O O,2
12,O O O O O O O O O O O O O O O O O O O O O O O O O,2
13,O O O O O O O O O O O O,2
14,O O O O O O O O O O O O,2
15,O O O O O O O O O O,2
16,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
17,O O O O O O O O O O O O O O O O,2
18,O O O O O,2
19,O O O O O O O O O O O O O O O O O O O,2
20,O O O O O O,2
21,O O O O O O O O O O O O,2
22,O O O O O O O O O O O O O O O O O O O O O O O O,2
23,O O O O O O O O O O O O O O O O O O O O,2
24,O O O O O,2
25,O O O O O O O O O O O O O O O O O,2
26,O O O O O O O O O O O O O O O O,2
27,O O O O O O O O,2
28,O O O O O O O O O O O O O O O O,2
29,O O O O O,2
30,O O O O O O O O,2
31,O O O O O O O O O O O O O O O O O O O O O O O O O O,2
32,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
33,O O O O O O O O O,2
34,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
35,O O O O O O O O O O O O O O O O O,2
36,O O O O O O O O O O O O,2
37,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
38,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
39,O O O O O O O O O O O O O O O O O,2
40,O O O O O,2
41,O O O O O O O O O O O O O O O O O O O O O O O,2
42,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
43,O O O O O O O O O O O O,2
44,O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
45,O O O O O O O O O,2
46,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
47,O O O O O O O O O O O O O O O O O O O O O O O O O,2
48,O O O O O O,2
49,O O O O O O O O O O O O O O O O O O,2
50,O O O O O O O,2
51,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
52,O O O O O O O O O O,2
53,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
54,O O O O O O O O O O O O O O O O O,2
55,O O O O O O O O O O O,2
56,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
57,O O O O O O O O O O O O O O O O O,2
58,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
59,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
60,O O O O O O O O O O,2
61,O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
62,O O O O O O O O O O O O O O O O O O O O O O O O O O,2
63,O O O O O O O O O O O O O O O O O O O O,2
64,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
65,O O O O O O,2
66,O O O O O O O O,2
67,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
68,O O O O O,2
69,O O O O O,2
70,O O O O O O O O O O O O O O O O O O O O O O O O,2
71,O O O O O O O O O O O O O O,2
72,O O O O O O O O O O O O O O,2
73,O O O O O O O O O O O O O O O O O O O O,2
74,O O O O O O O O O O O O O O O O O O,2
75,O O O O O O O O O,2
76,O O O O O O O O O O O O O O,2
77,O O O O O O O O O O,2
78,O O O O O O O O O O O O O,2
79,O O O O O O O O O O O O O O O O O O O O O O O,2
80,O O O O O O O O O O O O O O O O O O O O O,2
81,O O O O O O O O O O O O O,2
82,O O O O O O O O O O O O,2
83,O O O O O O O O O O O O O O,2
84,O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
85,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
86,O O O O O O O O O O O O O O O O O O O O O O O,2
87,O O O O O O O O O,2
88,O O O O O O O O O O O O O,2
89,O O O O O O O O O O O O O O O O O O,2
90,O O O O O O O O O,2
91,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
92,O O O O O O O O O O O O O O,2
93,O O O O O O O O O O O O O O O O O O O,2
94,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
95,O O O O O O O O O O O O O O O O O O O O O O O O,2
96,O O O O O O O O O O,2
97,O O O O O O O O O O O O O O O O,2
98,O O O O,2
99,O O O O O O O O O O O O O O O O O O O O O,2
100,O O O O O O O O O O O O O O O O O O O O O O O O,2
101,O O O O O,2
102,O O O O O O O O O O O O O O,2
103,O O O O O O O,2
104,O O O O O O O O O O O O O O O O O O O O O O O O O,2
105,O O O O O O O O O O O O O O O O,2
106,O O O O O O O O O O O,2
107,O O O O O,2
108,O O O O O O O O O O O O O O,2
109,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
110,O O O O O O O O O O O O O O O O O O O O O O,2
111,O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
112,O O O O O O O O O O O O O O,2
113,O O O O O O O O O O O O,2
114,O,2
115,O O O O O O O O O O O O O,2
116,O O O O O O O O O O O O O O O O O,2
117,O O O O O O O O O O O O,2
118,O O O O O O O O O O,2
119,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
120,O O O O O O O,2
121,O O O O O O O O O O O O O O O O O O O,2
122,O O O O O O O O O O O O O O O O O O O O O O,2
123,O O O O O,2
124,O O O O O O,2
125,O O O O O O O O O,2
126,O O O O O O O O O O O O O O O O O O O,2
127,O O O O O O O O O O O O O O O O O O O O O O,2
128,O O O O O O O O O O O O O O,2
129,O O O O,2
130,O O O O O O O O O O O O O O O O O O,2
131,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
132,O O O O O O O O O O O O O O O O O,2
133,O O O O O O O O O O O O O O O O O O O,2
134,O O O O O O O O,2
135,O O O O O O O O O O O O O O O O O O,2
136,O O O,2
137,O O O O O O O O O O O O O O O O O O,2
138,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
139,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
140,O O O O O O O O O O O O O O O O O,2
141,O O O O O O,2
142,O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
143,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
144,O O O O O O,2
145,O O O O O O O O O O O O O O,2
146,O O O O,2
147,O O O O O O O O O O O O O O O O,2
148,O O O O O O O O O O O,2
149,O O O O O O O O O O O O O O O O O O O O O O O O,2
150,O O O O O O O O O O O O O O O,2
151,O O O O O O O O O O O O O O O O O O O O O O O O O,2
152,O O O O O O O O O,2
153,O O O O O O O O O O O O O,2
154,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
155,O O O O O O O O O O O O,2
156,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
157,O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
